City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Cazones,MX,2022-02-13 22:10:18,20.7167,-97.3167,64.2,55,75,6.91,broken clouds
168,Puerto Escondido,MX,2022-02-13 22:10:19,15.85,-97.0667,83.23,74,75,0.0,broken clouds
169,Aviles,ES,2022-02-13 22:10:19,43.5547,-5.9248,51.73,77,20,21.85,few clouds
170,Dikson,RU,2022-02-13 22:10:19,73.5069,80.5464,-4.67,87,100,24.74,overcast clouds
171,Moose Factory,CA,2022-02-13 22:10:20,51.2585,-80.6094,-0.35,89,100,3.15,overcast clouds
172,Mar Del Plata,AR,2022-02-13 22:09:10,-38.0023,-57.5575,69.82,64,0,8.05,clear sky
173,Presidencia Roque Saenz Pena,AR,2022-02-13 22:10:20,-26.7852,-60.4388,85.37,28,0,3.78,clear sky
174,Isla Mujeres,MX,2022-02-13 22:10:21,21.2311,-86.731,78.85,76,55,19.51,broken clouds
175,Cayambe,EC,2022-02-13 22:10:21,0.05,-78.1333,56.46,84,100,2.55,light rain
176,Husavik,IS,2022-02-13 22:10:22,66.0449,-17.3389,9.66,78,69,14.09,broken clouds
177,Clarence Town,AU,2022-02-13 22:10:22,-32.5833,151.7833,74.86,64,85,5.46,overcast clouds
178,Makungu,TZ,2022-02-13 22:10:22,-8.7333,35.2833,64.0,95,100,1.81,light rain
179,Huangchuan,CN,2022-02-13 22:11:23,32.1272,115.0394,38.73,85,32,1.16,scattered clouds
180,Kruisfontein,ZA,2022-02-13 22:10:30,-34.0033,24.7314,65.32,84,23,6.78,few clouds
181,Blackfoot,US,2022-02-13 22:09:50,43.1905,-112.345,40.78,84,2,3.36,clear sky
182,Port Alfred,ZA,2022-02-13 22:09:58,-33.5906,26.891,71.4,86,87,11.18,overcast clouds
183,Little Current,CA,2022-02-13 22:11:24,45.9793,-81.9248,4.41,74,12,1.03,few clouds
184,Chuy,UY,2022-02-13 22:11:24,-33.6971,-53.4616,66.72,50,1,10.09,clear sky
185,Mujiayingzi,CN,2022-02-13 22:11:25,42.1167,118.7833,3.25,96,99,3.89,overcast clouds
186,Kerema,PG,2022-02-13 22:11:25,-7.9631,145.7785,79.97,76,82,1.88,broken clouds
187,Sitka,US,2022-02-13 22:11:25,57.0531,-135.33,42.69,75,100,6.91,light rain
188,Hamilton,US,2022-02-13 22:11:26,39.1834,-84.5333,29.12,73,100,11.5,overcast clouds
189,Jalu,LY,2022-02-13 22:09:06,29.0331,21.5482,55.24,52,66,7.14,broken clouds
190,Adrar,MR,2022-02-13 22:11:26,20.5022,-10.0711,64.33,20,73,10.54,broken clouds
191,Comodoro Rivadavia,AR,2022-02-13 22:11:27,-45.8667,-67.5,67.86,64,20,18.41,few clouds
192,Fairview,US,2022-02-13 22:11:27,40.8126,-73.999,31.62,75,100,10.36,overcast clouds
193,Nyurba,RU,2022-02-13 22:11:28,63.2842,118.3319,-23.15,100,99,1.43,overcast clouds
194,San Patricio,US,2022-02-13 22:11:28,28.017,-97.5169,66.61,22,19,5.73,few clouds
195,Makakilo City,US,2022-02-13 22:07:50,21.3469,-158.0858,79.12,52,0,12.66,clear sky
196,Kjopsvik,NO,2022-02-13 22:11:29,68.097,16.3742,33.17,92,100,10.29,snow
197,Sola,VU,2022-02-13 22:11:29,-13.8833,167.55,82.15,77,100,19.26,overcast clouds
198,Acari,PE,2022-02-13 22:11:30,-15.4311,-74.6158,78.71,61,34,8.61,scattered clouds
199,Sao Filipe,CV,2022-02-13 22:09:40,14.8961,-24.4956,74.35,64,55,11.45,broken clouds
200,Fairbanks,US,2022-02-13 22:06:51,64.8378,-147.7164,15.22,81,100,4.61,mist
