City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Aklavik,CA,2022-02-09 21:18:01,68.2191,-135.0107,-19.37,69,75,10.36
274,Kahului,US,2022-02-09 21:18:01,20.8947,-156.47,80.62,59,20,13.8
275,Netanya,IL,2022-02-09 21:18:02,32.3329,34.8599,53.62,64,33,28.07
276,Vicuna,CL,2022-02-09 21:15:18,-30.0319,-70.7081,82.78,41,2,8.68
277,Kodiak,US,2022-02-09 21:18:03,57.79,-152.4072,22.51,36,0,16.11
278,Araouane,ML,2022-02-09 21:18:03,18.9048,-3.5265,70.05,9,0,10.87
279,Pastavy,BY,2022-02-09 21:18:04,55.1168,26.8326,37.27,99,100,15.68
280,Nykoping,SE,2022-02-09 21:18:04,58.753,17.0079,37.69,70,0,21.85
281,Kungurtug,RU,2022-02-09 21:18:05,50.5994,97.5228,-15.11,100,100,0.92
282,Saint George,US,2022-02-09 21:16:00,37.1041,-113.5841,67.42,16,0,8.05
283,Trairi,BR,2022-02-09 21:18:05,-3.2778,-39.2689,79.99,73,27,8.46
284,Aksarka,RU,2022-02-09 21:17:41,66.5606,67.7975,-0.6,99,99,9.1
285,High Level,CA,2022-02-09 21:15:18,58.5169,-117.136,6.91,92,100,8.05
286,Terracina,IT,2022-02-09 21:18:06,41.2863,13.2217,53.35,60,0,5.7
287,Sola,VU,2022-02-09 21:18:07,-13.8833,167.55,82.22,80,100,25.48
288,Epinal,FR,2022-02-09 21:16:21,48.1833,6.45,42.94,86,15,5.57
289,Laurel,US,2022-02-09 21:13:45,39.0993,-76.8483,57.96,43,0,11.5
290,Kupang,ID,2022-02-09 21:18:08,-10.1667,123.5833,78.62,83,100,0.96
291,Champerico,GT,2022-02-09 21:14:00,14.3,-91.9167,89.76,62,42,10.18
292,Zyryanka,RU,2022-02-09 21:18:08,65.75,150.85,-41.82,100,56,5.5
293,Buraydah,SA,2022-02-09 21:18:09,26.326,43.975,63.05,24,0,15.86
